列号,A,B,C,D,E,F,G,H,I,J,,
,77,20181115_darc_awards,金地西安西沣公元售楼处及上海恒丰路桥激光装置入围2018 Darc Awards,Xi'an Vanke Sales Center and Hengfeng Road Bridge Nominated for Darc Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181115_darc_awards/01.webp,16:9,col-span-1 row-span-1,11/1/2018,"""slug: 20181115_darc_awards | title_cn: 两个项目入围2018 Darc Awards | title_en: Two Projects Nominated for 2018 Darc Awards | desc_cn: 金地西安西沣公元售楼处及上海恒丰路桥激光装置荣幸入围照明界奥斯卡。 | desc_en: Two projects were nominated for the Oscars of lighting design."" ","""CN_Entities: Darc Awards;金地西安西沣公元;上海恒丰路桥激光装置 | EN_Entities: Darc Awards;Xi'an Vanke Xifeng Gongyuan;Shanghai Hengfeng Road Bridge Laser Installation"""
,78,20180614_lighting_designer_conference,胡国剑总监参加第七届照明设计师大会,Director Hu Guojian Attended the 7th Lighting Designer Conference,讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180614_lighting_designer_conference/01.webp,3:4,col-span-1 row-span-1,6/1/2018,"""slug: 20180614_lighting_designer_conference | title_cn: 参加第七届中国照明设计师大会 | title_en: Attended the 7th China Lighting Designer Conference | desc_cn: 胡国剑总监进行《照明设计师的新机遇和新挑战》主题演讲。 | desc_en: Director Hu gave a keynote speech on the new opportunities and challenges for lighting designers."" ","""CN_Entities: 中国照明设计师大会;媒体立面;照明设计师 | EN_Entities: China Lighting Designer Conference;Media Facade;Lighting Designer"""
,79,20181226_golden_finger_awards,我司荣获2018第八届金手指奖诸多奖项,Won Multiple Awards in the 8th Golden Finger Awards 2018,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181226_golden_finger_awards/01.webp,16:9,col-span-1 row-span-1,12/1/2018,"""slug: 20181226_golden_finger_awards | title_cn: 我司荣获第八届金手指奖多项荣誉 | title_en: Won Multiple Honors in the 8th Golden Finger Awards | desc_cn: 参加中国美学灯光照明论坛，斩获行业标杆金手指奖多项殊荣。 | desc_en: Attended the China Aesthetic Lighting Forum and won multiple Golden Finger Awards."" ","""CN_Entities: 金手指奖;美学灯光照明论坛;照明新时代 | EN_Entities: Golden Finger Awards;Aesthetic Lighting Forum;New Era of Lighting"""
,80,20180930_hurun_design_award,胡国剑总监获得胡润百富“80后最受青睐的华人设计师奖”,Director Hu Guojian Won the Hurun Most Favored Post-80s Chinese Designer Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180930_hurun_design_award/01.webp,16:9,col-span-1 row-span-1,9/1/2018,"""slug: 20180930_hurun_design_award | title_cn: 胡国剑获得胡润百富“80后最受青睐华人设计师奖” | title_en: Hu Guojian Won the Hurun Most Favored Post-80s Chinese Designer Award | desc_cn: 成为第一批入选胡润百富设计师榜的灯光设计师。 | desc_en: Became one of the first lighting designers to enter the Hurun Designers List."" ","""CN_Entities: 胡润百富;80后最受青睐的华人设计师奖;灯光设计师;阿拉丁神灯奖 | EN_Entities: Hurun Report;Most Favored Post-80s Chinese Designer Award;Lighting Designer;Aladdin Lamp Award"""
,81,20200306_lutron_elite_part2,路创精英汇 “以人为本”是照明设计不变的理念与追求（下篇）,Lutron Elite: People-Oriented is the Constant Pursuit of Lighting Design (Part 2),讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200306_lutron_elite_part2/01.webp, aspect-square,col-span-1 row-span-1,3/1/2020,"""slug: 20200306_lutron_elite_part2 | title_cn: 路创精英汇照明理念探讨（下篇） | title_en: Discussion on Lighting Concepts at Lutron Elite (Part 2) | desc_cn: 继续探讨以人为本在高级别照明设计中的深度应用。 | desc_en: Continued discussion on the deep application of human-centric lighting design."" ","""CN_Entities: 路创精英汇;以人为本;照明设计 | EN_Entities: Lutron Elite;Human-Centric;Lighting Design"""
,82,20181204_magnolia_award,以光为荣 沪上花开2018白玉兰照明设计奖,2018 Magnolia Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181204_magnolia_award/01.webp,16:9,col-span-1 row-span-1,12/1/2018,"""slug: 20181204_magnolia_award | title_cn: 入围2018白玉兰照明设计奖 | title_en: Nominated for the 2018 Magnolia Lighting Design Award | desc_cn: 铁狮门苏悦广场及上海自然博物馆项目成功入围上海市照明学会白玉兰奖。 | desc_en: Tishman Speyer Suyue Plaza and Shanghai Natural History Museum nominated for Magnolia Award."" ","""CN_Entities: 白玉兰照明设计奖;上海市照明学会;苏悦广场;上海自然博物馆 | EN_Entities: Magnolia Lighting Design Award;Shanghai Illuminating Engineering Society;Suyue Plaza;Shanghai Natural History Museum"""
,83,20201117_ies_award,沈阳万科首府未来城荣获IES照明奖,Shenyang Vanke Future City Won the IES Illumination Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201117_ies_award/01.webp,16:9,col-span-1 row-span-2,11/1/2020,"""slug: 20201117_ies_award | title_cn: 沈阳万科首府未来城荣获IES照明奖 | title_en: Shenyang Vanke Future City Won the IES Illumination Award | desc_cn: 代表全球最高水平，我司万科未来城项目斩获北美照明工程协会IES大奖。 | desc_en: Representing the global highest level, our project won the IES Illumination Award."" ","""CN_Entities: IES照明奖;沈阳万科首府未来城;北美照明工程协会 | EN_Entities: IES Illumination Awards;Shenyang Vanke Future City;Illuminating Engineering Society"""
,84,20200214_lutron_elite_part1,路创精英汇 “以人为本”是照明设计不变的理念与追求（上篇）,Lutron Elite: People-Oriented is the Constant Pursuit of Lighting Design (Part 1),讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200214_lutron_elite_part1/01.webp, aspect-square,col-span-1 row-span-1,2/1/2020,"""slug: 20200214_lutron_elite_part1 | title_cn: 路创精英汇照明理念探讨（上篇） | title_en: Discussion on Lighting Concepts at Lutron Elite (Part 1) | desc_cn: 探讨以人为本在高级别照明设计中的理念。 | desc_en: Discussion on the concept of human-centric lighting design."" ","""CN_Entities: 路创精英汇;以人为本;照明设计 | EN_Entities: Lutron Elite;Human-Centric;Lighting Design"""
,85,20181220_light_revolution_book,热烈庆祝《光之变革》隆重出版,Warmly Celebrate the Publication of Revolution of Light,出版,Publishing,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181220_light_revolution_book/01.webp,3:4,col-span-1 row-span-1,12/1/2018,"""slug: 20181220_light_revolution_book | title_cn: 热烈庆祝《光之变革》隆重出版 | title_en: Celebrate the Publication of Revolution of Light | desc_cn: 我司深度参与《美术馆照明质量评估方法与体系研究报告》的编撰出版。 | desc_en: Our company deeply participated in the compilation and publication of the Art Museum Lighting Research Report."" ","""CN_Entities: 光之变革;美术馆照明;中华艺术宫;上海余德耀美术馆;照明工程学报 | EN_Entities: Revolution of Light;Art Museum Lighting;China Art Museum;Yuz Museum;Journal of Illuminating Engineering"""
,86,20180608_lda_40_under_40,胡国剑总监斩获2018 LDA “40 Under 40”设计师个人奖,Director Hu Won the 2018 LDA 40 Under 40 Designer Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180608_lda_40_under_40/01.webp,16:9,col-span-1 row-span-1,6/1/2018,"""slug: 20180608_lda_40_under_40 | title_cn: 斩获2018英国LDA 40 Under 40大奖 | title_en: Won the 2018 UK LDA 40 Under 40 Award | desc_cn: 胡国剑总监荣膺代表全球最高设计水平的英国照明设计奖(LDA)杰出青年大奖。 | desc_en: Director Hu won the prestigious UK LDA 40 Under 40 Lighting Design Award."" ","""CN_Entities: LDA;40 Under 40;照明设计奖;国际照明设计师协会 | EN_Entities: LDA;40 Under 40;Lighting Design Awards;IALD"""
,87,20181026_cies_committee,中国照明学会室内照明专业委员会委员聘任,Appointed as Committee Member of CIES Indoor Lighting,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181026_cies_committee/01.webp, aspect-square,col-span-1 row-span-1,10/1/2018,"""slug: 20181026_cies_committee | title_cn: 获聘中国照明学会室内照明专业委员会委员 | title_en: Appointed as Committee Member of CIES Indoor Lighting | desc_cn: 胡国剑总监获聘中国照明学会第七届室内照明专业委员会委员。 | desc_en: Director Hu Guojian was appointed as a member of the 7th CIES Indoor Lighting Committee."" ","""CN_Entities: 中国照明学会;室内照明专业委员会;视知觉现象 | EN_Entities: CIES;Indoor Lighting Committee;Visual Perception Phenomena"""
,88,20180709_outstanding_designer_award,胡国剑总监荣获度杰出照明设计师奖,Director Hu Won the Outstanding Lighting Designer Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20180709_outstanding_designer_award/01.webp,16:9,col-span-1 row-span-1,7/1/2018,"""slug: 20180709_outstanding_designer_award | title_cn: 胡国剑荣获杰出照明设计师及卓越贡献大奖 | title_en: Hu Guojian Won Outstanding Lighting Designer and Contribution Awards | desc_cn: 荣获年度杰出照明设计师和年度地产行业卓越设计贡献奖。 | desc_en: Won the Outstanding Lighting Designer of the Year and Excellence in Real Estate Design Contribution Awards."" ","""CN_Entities: 地产建筑师大会;杰出照明设计师;地产行业卓越设计贡献奖 | EN_Entities: Real Estate Architects Conference;Outstanding Lighting Designer;Excellence Design Contribution Award"""
,89,20200915_asian_lighting_award,荣获亚洲照明设计奖优异之光,Won the Asian Lighting Design Award - Light of Excellence,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20200915_asian_lighting_award/01.webp,16:9,col-span-1 row-span-1,9/1/2020,"""slug: 20200915_asian_lighting_award | title_cn: 荣获亚洲照明设计奖优异之光 | title_en: Won the Asian Lighting Design Award - Light of Excellence | desc_cn: 南京融创锦麟融誉府示范区斩获亚洲照明设计大奖。 | desc_en: Nanjing Sunac Jinlin Rongyu Mansion Demonstration Area won the Asian Lighting Design Award."" ","""CN_Entities: 亚洲照明设计奖;优异之光;AALD;南京融创锦麟融誉府 | EN_Entities: Asian Lighting Design Award;Light of Excellence;AALD;Nanjing Sunac Jinlin Rongyu Mansion"""
,90,20201126_art_exhibition,秋冬看展好去处～,Great Places to Visit Art Exhibitions in Autumn and Winter,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201126_art_exhibition/01.webp,3:4,col-span-1 row-span-1,11/1/2020,"""slug: 20201126_art_exhibition | title_cn: 秋冬上海看展好去处 | title_en: Great Places for Art Exhibitions in Shanghai | desc_cn: 金秋沪上展览连绵不断，带您游历上海不可错过的绝佳艺术大展。 | desc_en: Taking you to visit the unmissable art exhibitions in Shanghai during autumn."" ","""CN_Entities: 艺术展;艺术爱好者;案例分享 | EN_Entities: Art Exhibition;Art Lovers;Case Sharing"""
,91,20190522_aladdin_lamp_award,上海静安南北高架景观照明及上海大学路莫比乌斯环喜获阿拉丁神灯奖优秀奖,Jing'an Viaduct and Daxue Road Mobius Ring Won Aladdin Lamp Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20190522_aladdin_lamp_award/01.webp,16:9,col-span-1 row-span-1,5/1/2019,"""slug: 20190522_aladdin_lamp_award | title_cn: 两大项目喜获阿拉丁神灯大奖 | title_en: Two Projects Won Aladdin Lamp Awards | desc_cn: 上海静安南北高架与莫比乌斯环项目斩获照明界权威奖项阿拉丁神灯奖。 | desc_en: Two signature lighting projects won the authoritative Aladdin Lamp Award."" ","""CN_Entities: 阿拉丁神灯奖;南北高架景观照明;莫比乌斯环;光技术与艺术 | EN_Entities: Aladdin Lamp Award;North-South Viaduct Landscape Lighting;Mobius Ring;Light Technology and Art"""
,92,20201019_golden_finger_champion,金绮樱获得2020金手指奖-冠军设计师,Jin Qiying Won the 2020 Golden Finger Award Champion Designer,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201019_golden_finger_champion/01.webp,16:9,col-span-1 row-span-1,10/1/2020,"""slug: 20201019_golden_finger_champion | title_cn: 金绮樱斩获2020金手指奖冠军设计师 | title_en: Jin Qiying Won the 2020 Golden Finger Award Champion Designer | desc_cn: 我司项目经理金绮樱凭艺术空间照明理念斩获金手指奖全国冠军设计师。 | desc_en: Project Manager Jin Qiying won the national Champion Designer of the Golden Finger Award."" ","""CN_Entities: 金手指奖;冠军设计师;艺术空间光的维度;上海西岸美术馆;北京X美术馆 | EN_Entities: Golden Finger Award;Champion Designer;Dimension of Light in Art Space;West Bund Museum;Beijing X Museum"""
,93,20190428_credaward_xifeng,金地西安西沣公元售楼处喜获第五届地产设计大奖优秀奖,Xi'an Vanke Sales Center Won the 5th CREDAWARD Excellence Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20190428_credaward_xifeng/01.webp,16:9,col-span-1 row-span-1,4/1/2019,"""slug: 20190428_credaward_xifeng | title_cn: 西安售楼处荣获地产设计大奖 | title_en: Xi'an Sales Center Won CREDAWARD | desc_cn: 强宏博总监做作品演说，金地西安西沣公元斩获第五届地产设计优秀奖。 | desc_en: Director Qiang Hongbo presented the project which won the 5th CREDAWARD Excellence Award."" ","""CN_Entities: 地产设计大奖;CREDAWARD;金地西安西沣公元售楼处 | EN_Entities: CREDAWARD;Real Estate Design Award;Xi'an Vanke Xifeng Gongyuan Sales Center"""
,94,20181211_magnolia_multiple_awards,我司荣获2018白玉兰照明设计奖诸多奖项,Won Multiple 2018 Magnolia Lighting Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20181211_magnolia_multiple_awards/01.webp,16:9,col-span-1 row-span-1,12/1/2018,"""slug: 20181211_magnolia_multiple_awards | title_cn: 荣获2018白玉兰照明设计诸多奖项 | title_en: Won Multiple 2018 Magnolia Lighting Design Awards | desc_cn: 上海自然博物馆及苏悦广场分别荣获白玉兰大奖二等奖和三等奖。 | desc_en: Shanghai Natural History Museum and Suyue Plaza won multiple Magnolia Awards."" ","""CN_Entities: 白玉兰照明奖;上海市照明学会;上海自然博物馆;白玉兰优秀照明设计师奖 | EN_Entities: Magnolia Lighting Award;Shanghai Illuminating Engineering Society;Shanghai Natural History Museum;Excellent Lighting Designer Award"""
,95,20201014_aald_ceremony,第16届亚洲照明设计颁奖盛典,The 16th Asian Lighting Design Awards Ceremony,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201014_aald_ceremony/01.webp, aspect-square,col-span-1 row-span-1,10/1/2020,"""slug: 20201014_aald_ceremony | title_cn: 参加第16届亚洲照明设计颁奖盛典 | title_en: Attended the 16th Asian Lighting Design Awards Ceremony | desc_cn: 强宏博总监亲临颁奖现场见证融创锦麟项目优异之光荣誉时刻。 | desc_en: Director Qiang Hongbo attended the ceremony witnessing the honorary moment of the Sunac project."" ","""CN_Entities: 亚洲照明设计奖;AALD;优异之光;强宏博 | EN_Entities: Asian Lighting Design Awards;AALD;Light of Excellence;Qiang Hongbo"""
,96,20201116_indoor_lighting_forum,2020中国室内照明论坛,2020 China Indoor Lighting Forum,讲座,Lecture,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20201116_indoor_lighting_forum/01.webp, aspect-square,col-span-1 row-span-1,11/1/2020,"""slug: 20201116_indoor_lighting_forum | title_cn: 胡总受邀参加中国室内照明论坛 | title_en: Invited to the China Indoor Lighting Forum | desc_cn: 胡国剑总监作为室内照明专业委员会委员应邀参加此次学术盛宴。 | desc_en: Director Hu Guojian was invited to attend this academic feast as a committee member."" ","""CN_Entities: 中国室内照明论坛;中国照明学会室内照明专业委员会;学术盛宴 | EN_Entities: China Indoor Lighting Forum;CIES Indoor Lighting Committee;Academic Feast"""
